kepid,orbital_period,transit_duration_hr,transit_depth_ppm,planet_radius_earth,stellar_temp_k,stellar_radius_solar,stellar_mass_solar,impact_parameter,equilibrium_temp,signal_to_noise,target,source,tid,stellar_density,duration_over_period,depth_per_planet_radius,target_id,exominer_score
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8396104410831419
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.8395784447447854
10872983.0,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1.053,0.762,1160.0,40.2,1,Kepler,,1.146645321742405,0.0316468058030742,89.40555860162928,10872983.0,0.7902509491095524
