ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
350299588,20190415,,8527-00321-1,165-006201,05353831-5708185,,J053538.36-570818.8,4766365902635410048,27259202,,STAR,tmgaia2,83.909612369261,-57.1385045012568,tmgaia2,41.3019,0.0420531,-29.1101,0.0439427,gaia2,7.28182,0.0242405,gaia2,265.366055279321,-32.6728881591934,70.3128444142605,-80.1605698350026,9.507,0.041,8.991,0.003,,,,,,,,,,,7.899,0.024,7.657,0.04,7.533,0.026,AAA-111-111-000-0-0,,7.485,0.032,7.531,0.02,7.517,0.016,7.551,0.071,8.7884,0.000284,8.3987,0.006,rered,gaia2,6128.0,132.772,3.96225,0.0826951,,,1.86267,0.086721,1.16,0.161499,0.179494,0.039801,DWARF,4.408002,0.182871,136.786,0.457,0.0205133,0.01009516,90,0.000145244456,,,0.00709131872,0.00789332,0.012297,schlegel,0.137573,0.185424,0.0560261,0.117416,0.0328977,0.0467043,0.0745544,0.0908357,0.094094,0.271648,0.455,0.459,bj2018,144.099,121.445,dered,9.10155,0.001504,8.36149,0.002304,1,,tycho2v3,tycho2b3,,0.742521461416704,0.681526989505032,83.9099400956227,-57.1386298368378,0.0220807569112988,0.0237841378521336,1,0,547475628
167719618,20190415,,8916-01333-1,125-010398,06522246-6505504,,J065222.33-650551.3,5285112842921862784,31813658,,STAR,tmgaia2,103.093512837104,-65.0973881561145,tmgaia2,-62.7091,0.0547558,-62.4175,0.0608733,gaia2,15.9699,0.0366442,gaia2,275.407261904019,-24.3341740818021,170.774744180215,-84.4542033335652,10.618,0.056,9.759,0.004,,,,,,,,,,,8.377,0.029,7.988,0.026,7.939,0.018,AAA-111-111-000-0-0,,7.818,0.027,7.905,0.02,7.886,0.017,7.906,0.13,9.59424,0.000229,9.0803,0.006,gbprp,gaia2,5280.0,117.991,4.59501,0.0826878,,,0.796254,0.0433718,0.91,0.112922,1.80255,0.421966,DWARF,0.443949461,0.0100977449,62.505,0.14425,0.0,0.0,150,0.003806994,,,0.0190130528,0.0,0.0,,0.0988116,0.127032,0.0399563,0.0467874,0.37671,0.467223,0.0798922,0.0854835,0.0115808,0.00861469,0.1439,0.1446,bj2018,124.906,111.076,dered0,10.0299,0.000614,9.03763,0.000464,1,,tycho2v3,tycho2b3,,1.00726348172095,0.944253408196549,103.09287163036,-65.0976568995,0.0285414350377319,0.036797181060189,1,0,574634366
255560319,20190415,30465,8534-01396-1,183-008308,06241726-5334333,,J062417.21-533432.7,5499965145930001920,25183626,,STAR,tmgaia2,96.0719249882355,-53.5759394805541,tmgaia2,-39.5146,0.044781,57.2502,0.062066,gaia2,6.5854,0.0245443,gaia2,262.176387573501,-25.4269425363284,105.821335262959,-76.681557262605,10.006,0.118,9.16,0.03,,,,,,,,,,,7.735,0.019,7.371,0.057,7.28,0.024,AAA-111-111-000-0-0,,7.212,0.043,7.292,0.02,7.262,0.016,7.144,0.077,8.94202,0.000219,8.4379,0.006,rered,spect,5494.7,106.726,3.63775,0.0743375,-0.07,0.1,2.46205,0.118015,0.96,0.12152,0.0643253,0.0131411,DWARF,4.978102,0.1714815,151.189,0.565,0.0305436,0.0104626147,103,0.000604222761,,,0.00353101385,0.00976673,0.0111585,schlegel,0.105228,0.137813,0.137321,0.098709,0.0104733,0.015809,0.0754338,0.0732412,0.192541,0.150422,0.563,0.567,bj2018,129.906,83.5456,spect,9.36634,0.002139,8.3969,0.002331,1,,hipvmag,apassdr9,,0.777812237706687,0.962418947525759,96.071638452913,-53.5756929869777,0.0201495372770372,0.0276039494926066,1,0,563562962
418255064,20190415,,,047-010488,13063680-8037015,,J130636.77-803701.3,5784343378796063872,35262508,,STAR,tmgaia2,196.653468860933,-80.6171063540537,tmgaia2,-15.5474,0.0515801,24.2015,0.0488707,gaia2,6.36719,0.0257751,gaia2,303.580973705266,-17.7644894834033,250.262036341772,-62.4518021819535,13.418,0.036,12.478,0.069,,,,,,,,,,,10.793,0.021,10.319,0.023,10.198,0.021,AAA-222-111-000-0-0,,10.15,0.024,10.203,0.021,10.109,0.051,9.034,,12.2164,0.000281,11.6157,0.006,rered,gaia2,5342.0,117.665,4.71456,0.0814719,,,0.697666,0.0356532,0.92,0.116229,2.70922,0.61108,DWARF,0.357113034,0.0114847,156.348,0.635,0.148512,0.0102501,281,0.04907102,,,0.0018925427,0.0102359,0.0102643,schlegel,0.101076,0.131383,0.037604,0.0337025,0.571677,0.650482,0.0791029,0.0838409,0.0122436,0.0107258,0.633,0.637,bj2018,117.486,117.844,dered,12.7294,0.001193,11.5664,0.00075,1,,ucac4,apassdr9,,1.0488209415511,0.757877085935104,196.653058263991,-80.6170021533867,0.0292106856089807,0.0240356946698625,1,0,832026481
374829238,20190415,,,122-008280,05532099-6538022,,J055320.96-653801.1,4755884700667639296,32453924,,STAR,tmgaia2,88.3374489568932,-65.6339403024196,tmgaia2,-15.2413,0.0509349,102.216,0.0457605,gaia2,15.2255,0.0226928,gaia2,275.319353404214,-30.4934045740446,53.2260561980846,-88.8543506014259,14.793,0.037,13.344,0.103,,,,,,,,,,,10.219,0.022,9.592,0.025,9.363,0.022,AAA-222-111-000-0-0,,9.253,0.023,9.237,0.02,9.117,0.023,9.108,0.257,12.5245,0.000397,11.5026,0.00737907,cdwrf,cdwrf,3733.0,157.0,4.68421,0.00994379,,,0.561301,0.0166798,0.555307,0.0202895,3.14012,0.165423,DWARF,0.0551211536,0.0126083726,65.5548,0.09825,0.0,0.0,1442,0.06556935,,,0.00644596061,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,13.5689,0.002316,11.5249,0.001626,1,,ucac4,apassdr9,cooldwarfs_v8,0.93964517266179,0.70967154236223,88.3372898976403,-65.6335002058347,0.0208556099615016,0.0233363608714795,1,0,555097716
167342439,20190415,,9177-00092-1,113-013481,06345514-6732140,,J063455.11-673214.1,5280307324270051200,32019996,,STAR,tmgaia2,98.7297577831179,-67.5372255493795,tmgaia2,-14.9904,0.0481273,-11.3176,0.0516182,gaia2,7.6071,0.0239851,gaia2,277.733464721949,-26.4793981610218,199.997158041469,-86.4619697929852,11.426,0.106,10.71,0.007,,,,,,,,,,,9.444,0.023,9.062,0.023,8.972,0.025,AAA-222-111-000-0-0,,8.944,0.022,9.006,0.02,8.937,0.021,9.096,0.229,10.5886,0.000289,10.0906,0.006,rered,spect,5409.22,107.287,4.39313,0.0723827,0.327557,0.0462431,1.02101,0.0503342,0.94,0.11495,0.883151,0.180588,DWARF,0.8040725,0.02830055,130.959,0.4145,0.0188093,0.0100814654,199,0.005436172,,,0.00753839966,0.0105768,0.00958613,schlegel,0.0789585,0.150942,0.0510593,0.049609,0.128535,0.232641,0.0498764,0.0948891,0.0270324,0.0295687,0.413,0.416,bj2018,117.548,97.0266,spect,11.0044,0.001172,10.047,0.00086,1,,tycho2v3,tycho2b3,,0.897662518017445,0.800508533748939,98.7295888617481,-67.5372742780234,0.0229378679182453,0.0261255787393404,1,0,566925650
177077336,20190415,,9182-01321-1,097-013013,06525858-7038324,,J065258.45-703830.8,5266607095856190976,33629267,,STAR,tmgaia2,103.244066553794,-70.6423037125976,tmgaia2,-56.3498,0.0538061,143.357,0.0475112,gaia2,12.3197,0.0281148,gaia2,281.414182342871,-25.3550209927838,226.227967362858,-83.6978899877792,11.766,0.122,10.753,0.01,,,,,,,,,,,9.257,0.023,8.745,0.04,8.655,0.019,AAA-212-111-000-0-0,,8.611,0.023,8.676,0.02,8.615,0.02,8.559,0.132,10.6626,0.000466,10.0686,0.0061,gbprp,spect,4907.96,111.351,4.58373,0.0827129,0.0501746,0.0577727,0.756336,0.0451056,0.8,0.0892751,1.84904,0.447013,DWARF,0.2990394,0.00853011,80.9812,0.18575,0.0,0.0,163,0.0255652927,,,0.0121599557,0.0,0.0,,0.0714422,0.107108,0.0272915,0.0629196,0.426361,0.467666,0.0792031,0.0862228,0.00749407,0.00956615,0.1853,0.1862,bj2018,153.478,69.2233,spect,11.1856,0.002738,10.0191,0.001093,1,,tycho2v3,tycho2b3,,1.0225896665018,0.736929582813704,103.24333459877,-70.6416864825269,0.0302133621962198,0.0273036881944404,1,0,574653234
219195044,20190415,,,181-007319,06093401-5349245,,J060934.13-534923.2,5500474185452572032,26164735,,STAR,tmgaia2,92.3917403896938,-53.8234843718227,tmgaia2,92.7211,0.0551481,115.298,0.0578391,gaia2,18.5421,0.0232365,gaia2,262.006887515768,-27.6141894278049,96.3885150763294,-77.2097195667508,14.814,0.01,13.311,0.092,,,,,,,,,,,10.241,0.022,9.677,0.024,9.468,0.023,AAA-222-111-000-0-0,,9.34,0.023,9.237,0.02,9.172,0.025,9.093,0.341,12.5703,0.000319,11.5436,0.00732993,cdwrf,cdwrf,3731.0,157.0,4.76101,0.00720021,,,0.473141,0.0141473,0.470893,0.0203489,4.44581,0.206839,DWARF,0.03908201,0.008957809,53.8473,0.0679,0.0,0.0,102,0.0104278978,,,0.00779907731,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,13.6124,0.002417,11.566,0.00134,1,,ucac4,apassdr9,cooldwarfs_v8,0.958838385994545,0.896902912089975,92.3924167116476,-53.8229879517797,0.0211019338830743,0.0266783813016407,1,0,558632095
