uid,saturated,num_available_sectors,num_valid_sectors,num_sampled_sectors,sampled_sectors,sampled_qmetrics,sampled_sectors_missingvalues
167719618-1-S1-39,,24.0,2.0,5.0,[ 8 34  8 34 34],[-0.1724446  0.6433615 -0.1724446  0.6433615  0.6433615],yes
418255064-1-S1-39,,4.0,2.0,5.0,[12 39 12 39 12],[0.7788623  0.79510266 0.7788623  0.79510266 0.7788623 ],yes
350299588-1-S1-39,,25.0,2.0,5.0,[ 7 29  7 29  7],[0.6011193 0.7956575 0.6011193 0.7956575 0.6011193],yes
255560319-1-S1-39,,16.0,4.0,5.0,[29 33 35 38 33],[0.7449006  0.7522466  0.72348225 0.6382434  0.7522466 ],yes
177077336-1-S1-39,,24.0,24.0,5.0,[39 30 31 37 13],[0.86815846 0.8738558  0.89258504 0.6714244  0.23413835],yes
374829238-1-S1-39,,16.0,11.0,5.0,[39 13 34  2 37],[ 0.69017804  0.6464396   0.26243305 -0.22416991  0.7542936 ],yes
167342439-1-S1-39,,23.0,8.0,5.0,[ 1 36  3 34 32],[0.8807174  0.81230634 0.90243244 0.84650856 0.8258039 ],yes
219195044-1-S1-39,,14.0,12.0,5.0,[12  7 31 38 11],[0.7442195  0.7485393  0.77748084 0.7320054  0.5216463 ],yes
219195044-2-S1-39,,14.0,11.0,5.0,[12 32 11  7 28],[0.64472777 0.49444616 0.7484309  0.6199794  0.66665244],yes
